CD_NOM,GROUPTAXA,NOM_VALIDE
612457,Angiospermes,Daucus carota nothosubsp. intermedius
613688,Angiospermes,Daucus carota nothovar. intermedius
613689,Angiospermes,Daucus carota nothovar. pseudocarota
133732,Angiospermes,Daucus carota subsp. commutatus
613497,Angiospermes,Daucus carota var. commutatus
613498,Angiospermes,Daucus carota var. tenuisectus
133733,Angiospermes,Daucus carota subsp. drepanensis
133735,Angiospermes,Daucus carota subsp. gadecaei
133736,Angiospermes,Daucus carota subsp. gummifer
613500,Angiospermes,Daucus carota var. fontanesii
923541,Angiospermes,Daucus carota var. gummifer
133737,Angiospermes,Daucus carota subsp. hispanicus
613503,Angiospermes,Daucus carota var. brachycaulos
613501,Angiospermes,Daucus carota var. hispanicus
613502,Angiospermes,Daucus carota var. linearis
133740,Angiospermes,Daucus carota subsp. maritimus
133741,Angiospermes,Daucus carota subsp. maximus
613495,Angiospermes,Daucus carota var. mauritanicus
923550,Angiospermes,Daucus carota var. maximus
133744,Angiospermes,Daucus carota subsp. sativus
611234,Angiospermes,Daucus crinitus
94515,Angiospermes,Daucus glochidiatus
611235,Angiospermes,Daucus gracilis
611236,Angiospermes,Daucus guttatus
611238,Angiospermes,Daucus littoralis
611232,Angiospermes,Daucus montevidensis
94539,Angiospermes,Daucus muricatus
611237,Angiospermes,Daucus sahariensis
191878,Angiospermes,Distichoselinum
160253,Angiospermes,Distichoselinum tenuifolium
606885,Angiospermes,Dorema
610582,Angiospermes,Dorema ammoniacum
192079,Angiospermes,Elaeoselinum
95844,Angiospermes,Elaeoselinum meoides
192548,Angiospermes,Ferula
98014,Angiospermes,Ferula arrigonii
98020,Angiospermes,Ferula communis
134477,Angiospermes,Ferula communis subsp. communis
613517,Angiospermes,Ferula communis var. communis
613518,Angiospermes,Ferula communis var. brevifolia
612467,Angiospermes,Ferula communis subsp. catalaunica
98023,Angiospermes,Ferula glauca
979351,Angiospermes,Ferula persica
610575,Angiospermes,Ferula tingitana
193864,Angiospermes,Laser
105055,Angiospermes,Laser trilobum
193865,Angiospermes,Laserpitium
105071,Angiospermes,Laserpitium gallicum
788987,Angiospermes,Laserpitium gallicum subsp. gallicum
105074,Angiospermes,Laserpitium halleri
137102,Angiospermes,Laserpitium halleri subsp. halleri
137101,Angiospermes,Laserpitium halleri subsp. cynapiifolium
105099,Angiospermes,Laserpitium x besseanum
105100,Angiospermes,Laserpitium x gaveanum
105076,Angiospermes,Laserpitium latifolium
718371,Angiospermes,Laserpitium latifolium subsp. latifolium
105081,Angiospermes,Laserpitium nestleri
718372,Angiospermes,Laserpitium nestleri subsp. nestleri
105086,Angiospermes,Laserpitium prutenicum
137107,Angiospermes,Laserpitium prutenicum subsp. prutenicum
137106,Angiospermes,Laserpitium prutenicum subsp. dufourianum
105092,Angiospermes,Laserpitium siler
195023,Angiospermes,Myrrhis
109161,Angiospermes,Myrrhis odorata
195532,Angiospermes,Orlaya
111297,Angiospermes,Orlaya grandiflora
111301,Angiospermes,Orlaya platycarpos
196809,Angiospermes,Pseudorlaya
116209,Angiospermes,Pseudorlaya minuscula
116210,Angiospermes,Pseudorlaya pumila
613123,Angiospermes,Pseudorlaya pumila var. pumila
718758,Angiospermes,Pseudorlaya pumila var. microcarpa
197277,Angiospermes,Rouya
118900,Angiospermes,Rouya polygama
197407,Angiospermes,Scandix
121430,Angiospermes,Scandix australis
140743,Angiospermes,Scandix australis subsp. australis
140747,Angiospermes,Scandix australis subsp. grandiflora
121431,Angiospermes,Scandix balansae
121449,Angiospermes,Scandix pecten-veneris
140752,Angiospermes,Scandix pecten-veneris subsp. pecten-veneris
140749,Angiospermes,Scandix pecten-veneris subsp. brachycarpa
140750,Angiospermes,Scandix pecten-veneris subsp. hispanica
121455,Angiospermes,Scandix stellata
198366,Angiospermes,Thapsia
126248,Angiospermes,Thapsia villosa
613619,Angiospermes,Thapsia villosa var. villosa
613620,Angiospermes,Thapsia villosa var. latifolia
198509,Angiospermes,Torilis
611567,Angiospermes,Torilis africana
613703,Angiospermes,Torilis africana var. africana
613702,Angiospermes,Torilis africana var. heterophylla
