LEVEL,LB_CODE,LB_HAB_FR,CD_HAB,EUNIS
C,C3.5,Berges périodiquement inondées à végétation pionnière et éphémère,1683,C3.5-Berges périodiquement inondées à végétation pionnière et éphémère
C,C3.51,Gazons ras eurosibériens à espèces annuelles amphibies,5014,C3.51-Gazons ras eurosibériens à espèces annuelles amphibies
C,C3.511,Communautés naines des eaux douces à <em>Eleocharis</em>,10982,C3.511-Communautés naines des eaux douces à <em>Eleocharis</em>
C,C3.512,Pelouses des lettes dunaires à <em>Centaurium</em>,10983,C3.512-Pelouses des lettes dunaires à <em>Centaurium</em>
C,C3.513,Communautés naines à Jonc des crapauds,10995,C3.513-Communautés naines à Jonc des crapauds
C,C3.5131,Gazons à Jonc des crapauds,17596,C3.5131-Gazons à Jonc des crapauds
C,C3.5132,Gazons à petits <em>Cyperus</em>,17597,C3.5132-Gazons à petits <em>Cyperus</em>
C,C3.5133,Communautés naines des substrats humides à herbacées,17598,C3.5133-Communautés naines des substrats humides à herbacées
C,C3.52,Communautés à <em>Bidens</em> (des rives des lacs et des étangs),5016,C3.52-Communautés à <em>Bidens</em> (des rives des lacs et des étangs)
C,C3.53,Communautés eurosibériennes annuelles des vases fluviatiles,5017,C3.53-Communautés eurosibériennes annuelles des vases fluviatiles
C,C3.55,Bancs de graviers des cours d'eau à végétation clairsemée,5019,C3.55-Bancs de graviers des cours d'eau à végétation clairsemée
C,C3.551,Formations des graviers des cours d'eau boréo-alpins,11022,C3.551-Formations des graviers des cours d'eau boréo-alpins
C,C3.552,Habitats de graviers de cours d'eau montagnards,11023,C3.552-Habitats de graviers de cours d'eau montagnards
C,C3.5521,Communautés de graviers des cours d'eau à Chondrille,17600,C3.5521-Communautés de graviers des cours d'eau à Chondrille
C,C3.5522,Communautés de graviers des cours d'eau à Calamagrostide,17604,C3.5522-Communautés de graviers des cours d'eau à Calamagrostide
C,C3.55221,Communautés de graviers des cours d'eau carpato-alpins à Calamagrostide,20857,C3.55221-Communautés de graviers des cours d'eau carpato-alpins à Calamagrostide
C,C3.55222,Communautés de graviers des cours d'eau pyrénéo-cantabriques à Calamagrostide,20858,C3.55222-Communautés de graviers des cours d'eau pyrénéo-cantabriques à Calamagrostide
C,C3.5523,Communautés de graviers des cours d'eau à Scrofulaire,17605,C3.5523-Communautés de graviers des cours d'eau à Scrofulaire
C,C3.553,Habitats de graviers des cours d'eau méditerranéens,11050,C3.553-Habitats de graviers des cours d'eau méditerranéens
C,C3.554,Communautés septentrionales de graviers des cours d'eau planitiaires,11051,C3.554-Communautés septentrionales de graviers des cours d'eau planitiaires
C,C3.6,Berges nues ou à végétation clairsemée avec des sédiments meubles ou mobiles,1685,C3.6-Berges nues ou à végétation clairsemée avec des sédiments meubles ou mobiles
C,C3.61,Bancs de sable nus des rivières,5027,C3.61-Bancs de sable nus des rivières
C,C3.62,Bancs de graviers nus des rivières,5028,C3.62-Bancs de graviers nus des rivières
