CD_NOM,FAMILLE,NOM_VALIDE
143625,Apiaceae,Anthriscus cerefolium var. cerefolium
143627,Apiaceae,Anthriscus cerefolium var. trichocarpa
82943,Apiaceae,Anthriscus nitida
82952,Apiaceae,Anthriscus sylvestris
131460,Apiaceae,Anthriscus sylvestris subsp. sylvestris
143636,Apiaceae,Anthriscus sylvestris var. sylvestris
143635,Apiaceae,Anthriscus sylvestris var. latisecta
131456,Apiaceae,Anthriscus sylvestris subsp. alpina
143632,Apiaceae,Anthriscus sylvestris var. alpina
143634,Apiaceae,Anthriscus sylvestris var. angustisecta
143633,Apiaceae,Anthriscus sylvestris var. torquata
189483,Apiaceae,Artedia
160518,Apiaceae,Artedia squamata
189595,Apiaceae,Athamanta
84962,Apiaceae,Athamanta cretensis
610855,Apiaceae,Athamanta turbith
190410,Apiaceae,Caucalis
89415,Apiaceae,Caucalis platycarpos
190580,Apiaceae,Chaerophyllum
90328,Apiaceae,Chaerophyllum aureum
90330,Apiaceae,Chaerophyllum bulbosum
621692,Apiaceae,Chaerophyllum calabricum
90335,Apiaceae,Chaerophyllum elegans
90338,Apiaceae,Chaerophyllum hirsutum
90344,Apiaceae,Chaerophyllum nodosum
90356,Apiaceae,Chaerophyllum temulum
90359,Apiaceae,Chaerophyllum villarsii
613488,Apiaceae,Chaerophyllum villarsii var. cicutariiforme
613486,Apiaceae,Chaerophyllum villarsii var. villarsii
191095,Apiaceae,Conopodium
92242,Apiaceae,Conopodium majus
718333,Apiaceae,Conopodium majus subsp. majus
92245,Apiaceae,Conopodium pyrenaeum
191355,Apiaceae,Cuminum
93564,Apiaceae,Cuminum cyminum
191573,Apiaceae,Daucus
94497,Apiaceae,Daucus aureus
611233,Apiaceae,Daucus bicolor
94503,Apiaceae,Daucus carota
133731,Apiaceae,Daucus carota subsp. carota
613496,Apiaceae,Daucus carota var. carota
612457,Apiaceae,Daucus carota nothosubsp. intermedius
613688,Apiaceae,Daucus carota nothovar. intermedius
613689,Apiaceae,Daucus carota nothovar. pseudocarota
133732,Apiaceae,Daucus carota subsp. commutatus
613497,Apiaceae,Daucus carota var. commutatus
613498,Apiaceae,Daucus carota var. tenuisectus
133733,Apiaceae,Daucus carota subsp. drepanensis
133735,Apiaceae,Daucus carota subsp. gadecaei
133736,Apiaceae,Daucus carota subsp. gummifer
613500,Apiaceae,Daucus carota var. fontanesii
923541,Apiaceae,Daucus carota var. gummifer
133737,Apiaceae,Daucus carota subsp. hispanicus
613503,Apiaceae,Daucus carota var. brachycaulos
613501,Apiaceae,Daucus carota var. hispanicus
613502,Apiaceae,Daucus carota var. linearis
133740,Apiaceae,Daucus carota subsp. maritimus
133741,Apiaceae,Daucus carota subsp. maximus
613495,Apiaceae,Daucus carota var. mauritanicus
