TRIGRAMME,NOM_VALIDE,CD_NOM
Cosbly,"Cosmarium blyttii Wille, 1880","73783"
Cosblyaus,"Cosmarium blyttii f. australiacum Schmidle, 1896","648871"
Cosblynov,"Cosmarium blyttii var. novae-sylvae West & G.S.West, 1897","648873"
Cosboe,Cosmarium boeckii Wille,"73785"
Cosboi,"Cosmarium boitierense Kouwets, 1998","648874"
Cosboiina,"Cosmarium boitierense var. inambitiosum Kouwets, 1998","648875"
Cosbot,"Cosmarium botrytis Menegh. ex Ralfs, 1848","73786"
Cosbotdep,"Cosmarium botrytis var. depressum West & G.S.West, 1905","648877"
Cosbotema,"Cosmarium botrytis var. emarginatum Hansg., 1888","648878"
Cosbotgem,"Cosmarium botrytis var. gemmiferum (Bréb.) Nordst., 1888","648879"
Cosbotmed,Cosmarium botrytis var. mediolaeve West.,"73788"
Cosbotpax,"Cosmarium botrytis var. paxillosporum West & G.S.West, 1912","648880"
Cosbotsub,Cosmarium botrytis var. subtumidum Wittr.,"73790"
Cosbottum,"Cosmarium botrytis var. tumidum Wolle, 1884","648881"
Cosbra,Cosmarium braunii Wittr.,"73791"
Cosbre,Cosmarium brebissonii Menegh.,"73793"
Cosbro,Cosmarium broomei Thwaites,"73794"
Coscaespe,"Cosmarium caelatum var. spectabile (De Not.) Nordst., 1876","73796"
Coscae,"Cosmarium caelatum Ralfs, 1848","73795"
Coscaeelo,"Cosmarium caelatum f. elongata F.Gay, 1892","648882"
Coscaehex,"Cosmarium caelatum var. hexagonum West, 1890","648883"
Coscal,"Cosmarium calcareum Wittrock, 1872","648884"
Coscalspe,"Cosmarium calcareum var. spetsbergense (Borge) Kurt Först., 1972","894983"
Coscal2,"Cosmarium calodermum (Gay) de Toni, 1884","648885"
Coscan,"Cosmarium canaliculatum West & G.S.West, 1896","648886"
Coscap,"Cosmarium capitulum J.Roy & Bissett, 1886","721943"
Coscapgro,"Cosmarium capitulum var. groenlandicum Børgesen, 1894","648887"
Coscar,"Cosmarium carinthiacum Lütkem. in Grønblad, 1942","648889"
Coscin,"Cosmarium cinctutum Nordst., 1875","648890"
Coscir,"Cosmarium circulare Reinsch, 1867","648891"
Coscirmin,"Cosmarium circulare var. minus Hansg., 1888","648892"
Coscle,"Cosmarium clepshydra Spencer, 1882","648893"
Coscle2,"Cosmarium clepsydra Nordst., 1870","793169"
Cosclebic,"Cosmarium clepsydra var. bicardia (Reinsch) Croasdale, 1956","648894"
Coscledel,"Cosmarium clepsydra var. delaunayi Manguin, 1936","648895"
Coscli,"Cosmarium clippertonensis W.R. Taylor, 1939","705123"
Coscoa,Cosmarium coarctatum West,"73798"
Coscom,"Cosmarium commissurale Bréb. ex Ralfs, 1848","73799"
Coscomacu,"Cosmarium commissurale var. acutum Bréb., 1856","648896"
Coscon,"Cosmarium connatum Bréb. ex Ralfs, 1848","73800"
Coscon2,"Cosmarium conspersum Ralfs, 1848","648856"
Cosconlat,"Cosmarium conspersum var. latum (Bréb.) West & G.S.West, 1912","648857"
Cosconsub,"Cosmarium conspersum var. subrotundatum West, 1892","648897"
Coscon3,"Cosmarium contractum O.Kirchner, 1878","73801"
Cosconell,"Cosmarium contractum var. ellipsoideum (Elfving) West & G.S.West, 1902","648898"
Coscongar,"Cosmarium contractum var. gartanense West & G.S.West, 1902","648899"
Cosconinc,"Cosmarium contractum var. incrassatum A.M.Scott & Prescott, 1958","648901"
Cosconind,"Cosmarium contractum var. indentatum (Grönblad) Willi Krieg. & Gerloff, 1962","648902"
Cosconmin,"Cosmarium contractum var. minutum (Delponte) Coesel, 1989","653401"
Cosconret,"Cosmarium contractum var. retusum (West & G.S.West) Willi Krieg. & Gerloff, 1962","648903"
Coscon4,"Cosmarium controversum West, 1890","894985"
Coscor,"Cosmarium corbula (Bréb.) Bréb., 1856","648904"
Coscor2,"Cosmarium corriense Bisset, 1894","648905"
Coscos,Cosmarium costatum Nordst.,"73802"
Coscra,"Cosmarium crassangulatum Borge, 1894","648906"
Coscre,Cosmarium crenatum Ralfs,"73804"
Coscrebol,"Cosmarium crenatum f. boltiana (Gutw.) West & G.S.West, 1912","648907"
Coscri,"Cosmarium cristatum Ralfs, 1848","648908"
Coscru,"Cosmarium cruciatum Bréb., 1856","648909"
Coscuc,"Cosmarium cucumis Corda ex Ralfs, 1848","73807"
Coscuchel,"Cosmarium cucumis var. helveticum Nordst., 1880","792106"
Coscucmag,"Cosmarium cucumis var. magnum Racib., 1885","73808"
Coscyc,"Cosmarium cyclicum P.Lundell, 1871","73815"
Coscycarc,"Cosmarium cyclicum var. arcticum (Nordst.) West & G.S.West, 1905","648911"
Coscycnor,"Cosmarium cyclicum var. nordstedtianum (Reinsch) West & G.S.West, 1905","648912"
Coscyl,"Cosmarium cylindricum Ralfs, 1848","648913"
Coscym,"Cosmarium cymatonotophorum West, 1892","73816"
Coscymgra,"Cosmarium cymatonotophorum var. granulatum Grönblad, 1934","72482"
Coscym2,"Cosmarium cymatopleurum Nordst., 1872","648915"
Coscymmin,"Cosmarium cymatopleurum f. minus Kurz, 1922","648916"
Coscymarc,"Cosmarium cymatopleurum var. archeri (Roy & Bisset) West & G.S.West, 1900","719864"
Cosdav,"Cosmarium davidsonii J.Roy & Bissett, 1893","648918"
Cosdeb,"Cosmarium debaryi W.Archer in Pritchard, 1861","648919"
Cosdec,"Cosmarium decedens (Reinsch) Racib., 1889","73818"
Cosdecsin,"Cosmarium decedens var. sinuosum (P.Lundell) Racib., 1889","648920"
